Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3730,Kendrick,Perkins,C,NO,SAC,NO@SAC,10:00PM EST,10,6.1," "
nba.p.4469,Eric,Gordon,SG,NO,SAC,NO@SAC,10:00PM EST,23,23.6," "
nba.p.4482,Alexis,Ajinca,C,NO,SAC,NO@SAC,10:00PM EST,10,11.8," "
nba.p.4483,Ryan,Anderson,PF,NO,SAC,NO@SAC,10:00PM EST,29,27.3," "
nba.p.4499,Omer,Asik,C,NO,SAC,NO@SAC,10:00PM EST,10,9.6," "
nba.p.4564,Tyreke,Evans,PG,NO,SAC,NO@SAC,10:00PM EST,33,35.6," "
nba.p.4622,Jrue,Holiday,PG,NO,SAC,NO@SAC,10:00PM EST,19,24.6," "
nba.p.4634,Toney,Douglas,SG,NO,SAC,NO@SAC,10:00PM EST,10,11.3," "
nba.p.4638,Dante,Cunningham,SF,NO,SAC,NO@SAC,10:00PM EST,10,10.3," "
nba.p.4686,Alonzo,Gee,SF,NO,SAC,NO@SAC,10:00PM EST,10,9.7," "
nba.p.4731,Luke,Babbitt,SG,NO,SAC,NO@SAC,10:00PM EST,10,9.2," "
nba.p.4757,Quincy,Pondexter,SG,NO,SAC,NO@SAC,10:00PM EST,17,0.0,INJ
nba.p.4910,Norris,Cole,SG,NO,SAC,NO@SAC,10:00PM EST,10,15.4," "
nba.p.5007,Anthony,Davis,PF,NO,SAC,NO@SAC,10:00PM EST,56,43.7,O
nba.p.3608,Caron,Butler,SF,SAC,NO,NO@SAC,10:00PM EST,10,5.6," "
nba.p.4136,Rudy,Gay,SF,SAC,NO,NO@SAC,10:00PM EST,32,31.1," "
nba.p.4149,Rajon,Rondo,PG,SAC,NO,NO@SAC,10:00PM EST,41,37.3," "
nba.p.4296,Marco,Belinelli,SG,SAC,NO,NO@SAC,10:00PM EST,12,17.5," "
nba.p.4485,Kosta,Koufos,C,SAC,NO,NO@SAC,10:00PM EST,10,17.7," "
nba.p.4626,Darren,Collison,PG,SAC,NO,NO@SAC,10:00PM EST,21,23.6," "
nba.p.4628,Omri,Casspi,PF,SAC,NO,NO@SAC,10:00PM EST,28,24.3," "
nba.p.4720,DeMarcus,Cousins,C,SAC,NO,NO@SAC,10:00PM EST,50,45.1," "
nba.p.4751,James,Anderson,SF,SAC,NO,NO@SAC,10:00PM EST,10,4.4,GTD
nba.p.5071,Quincy,Acy,PF,SAC,NO,NO@SAC,10:00PM EST,10,9.1," "
nba.p.5158,Ben,McLemore,SG,SAC,NO,NO@SAC,10:00PM EST,10,12.7," "
nba.p.5245,Seth,Curry,PG,SAC,NO,NO@SAC,10:00PM EST,10,6.4," "
nba.p.5374,Eric,Moreland,PF,SAC,NO,NO@SAC,10:00PM EST,10,3.8,INJ
nba.p.5466,Willie,Cauley-Stein,C,SAC,NO,NO@SAC,10:00PM EST,10,13.9,GTD
nba.p.5525,Duje,Dukan,SF,SAC,NO,NO@SAC,10:00PM EST,10,0.0,INJ
nba.p.3706,Carmelo,Anthony,SF,NY,BKN,NY@BKN,7:30PM EST,39,38.0," "
nba.p.3844,Sasha,Vujacic,SG,NY,BKN,NY@BKN,7:30PM EST,10,8.0," "
nba.p.3989,Jose,Calderon,PG,NY,BKN,NY@BKN,7:30PM EST,10,18.5," "
nba.p.4190,Louis,Amundson,PF,NY,BKN,NY@BKN,7:30PM EST,10,7.1," "
nba.p.4305,Arron,Afflalo,SG,NY,BKN,NY@BKN,7:30PM EST,17,21.5," "
nba.p.4477,Robin,Lopez,C,NY,BKN,NY@BKN,7:30PM EST,11,19.1," "
nba.p.4748,Kevin,Seraphin,PF,NY,BKN,NY@BKN,7:30PM EST,10,9.7," "
nba.p.4883,Derrick,Williams,PF,NY,BKN,NY@BKN,7:30PM EST,10,13.3," "
nba.p.4966,Lance,Thomas,SF,NY,BKN,NY@BKN,7:30PM EST,10,12.9," "
nba.p.5083,Kyle,O'Quinn,C,NY,BKN,NY@BKN,7:30PM EST,10,12.6," "
nba.p.5345,Cleanthony,Early,SF,NY,BKN,NY@BKN,7:30PM EST,10,1.4,INJ
nba.p.5388,Langston,Galloway,SG,NY,BKN,NY@BKN,7:30PM EST,10,16.9," "
nba.p.5464,Kristaps,Porzingis,PF,NY,BKN,NY@BKN,7:30PM EST,32,28.7," "
nba.p.5479,Jerian,Grant,PG,NY,BKN,NY@BKN,7:30PM EST,10,10.1," "
nba.p.3520,Joe,Johnson,SF,BKN,NY,NY@BKN,7:30PM EST,18,21.6,GTD
nba.p.3948,Jarrett,Jack,SG,BKN,NY,NY@BKN,7:30PM EST,25,29.1,INJ
nba.p.4129,Andrea,Bargnani,C,BKN,NY,NY@BKN,7:30PM EST,10,9.8," "
nba.p.4290,Thaddeus,Young,PF,BKN,NY,NY@BKN,7:30PM EST,36,30.7," "
nba.p.4472,Brook,Lopez,C,BKN,NY,NY@BKN,7:30PM EST,35,35.4," "
nba.p.4633,Wayne,Ellington,SG,BKN,NY,NY@BKN,7:30PM EST,10,10.8," "
nba.p.4836,Donald,Sloan,PG,BKN,NY,NY@BKN,7:30PM EST,10,9.8," "
nba.p.4913,Bojan,Bogdanovic,SG,BKN,NY,NY@BKN,7:30PM EST,14,15.8," "
nba.p.5011,Thomas,Robinson,PF,BKN,NY,NY@BKN,7:30PM EST,10,8.8," "
nba.p.5146,Willie,Reed,SF,BKN,NY,NY@BKN,7:30PM EST,10,8.6," "
nba.p.5188,Shane,Larkin,PG,BKN,NY,NY@BKN,7:30PM EST,16,16.7," "
nba.p.5189,Sergey,Karasev,SG,BKN,NY,NY@BKN,7:30PM EST,10,1.8," "
nba.p.5355,Markel,Brown,SG,BKN,NY,NY@BKN,7:30PM EST,10,5.5," "
nba.p.5483,Rondae,Hollis-Jefferson,SG,BKN,NY,NY@BKN,7:30PM EST,10,17.3,INJ
nba.p.5489,Chris,McCullough,PF,BKN,NY,NY@BKN,7:30PM EST,10,0.0,INJ
nba.p.3598,Chris,Andersen,PF,MIA,LAC,MIA@LAC,10:30PM EST,10,4.5," "
nba.p.3607,Amar'e,Stoudemire,C,MIA,LAC,MIA@LAC,10:30PM EST,10,8.1," "
nba.p.3707,Chris,Bosh,PF,MIA,LAC,MIA@LAC,10:30PM EST,40,34.8," "
nba.p.3708,Dwyane,Wade,SG,MIA,LAC,MIA@LAC,10:30PM EST,30,31.0," "
