Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3954,Ian,Mahinmi,C,IND,SAC,IND@SAC,10:30PM EST,16,21.6,GTD
nba.p.3960,C.J.,Miles,SG,IND,SAC,IND@SAC,10:30PM EST,19,21.7," "
nba.p.3966,Monta,Ellis,SG,IND,SAC,IND@SAC,10:30PM EST,27,26.7," "
nba.p.4293,Rodney,Stuckey,SG,IND,SAC,IND@SAC,10:30PM EST,10,18.5,INJ
nba.p.4488,George,Hill,PG,IND,SAC,IND@SAC,10:30PM EST,18,25.0,INJ
nba.p.4613,Jordan,Hill,PF,IND,SAC,IND@SAC,10:30PM EST,16,19.9," "
nba.p.4649,Chase,Budinger,SG,IND,SAC,IND@SAC,10:30PM EST,10,10.4," "
nba.p.4725,Paul,George,SF,IND,SAC,IND@SAC,10:30PM EST,47,40.2," "
nba.p.4932,Lavoy,Allen,PF,IND,SAC,IND@SAC,10:30PM EST,10,14.2," "
nba.p.5193,Solomon,Hill,SG,IND,SAC,IND@SAC,10:30PM EST,10,7.7," "
nba.p.5351,Glenn,Robinson III,SF,IND,SAC,IND@SAC,10:30PM EST,10,8.0," "
nba.p.5378,Shayne,Whittington,C,IND,SAC,IND@SAC,10:30PM EST,10,3.1," "
nba.p.5471,Myles,Turner,C,IND,SAC,IND@SAC,10:30PM EST,10,15.7," "
nba.p.5496,Rakeem,Christmas,PF,IND,SAC,IND@SAC,10:30PM EST,10,0.0," "
nba.p.5503,Joe,Young,PG,IND,SAC,IND@SAC,10:30PM EST,10,8.1," "
nba.p.3608,Caron,Butler,SF,SAC,IND,IND@SAC,10:30PM EST,10,5.6," "
nba.p.4136,Rudy,Gay,SF,SAC,IND,IND@SAC,10:30PM EST,32,31.3,GTD
nba.p.4149,Rajon,Rondo,PG,SAC,IND,IND@SAC,10:30PM EST,41,37.2," "
nba.p.4296,Marco,Belinelli,SG,SAC,IND,IND@SAC,10:30PM EST,12,16.9," "
nba.p.4485,Kosta,Koufos,C,SAC,IND,IND@SAC,10:30PM EST,10,17.1," "
nba.p.4626,Darren,Collison,PG,SAC,IND,IND@SAC,10:30PM EST,19,22.4," "
nba.p.4628,Omri,Casspi,PF,SAC,IND,IND@SAC,10:30PM EST,26,24.1," "
nba.p.4720,DeMarcus,Cousins,C,SAC,IND,IND@SAC,10:30PM EST,53,46.3," "
nba.p.4751,James,Anderson,SF,SAC,IND,IND@SAC,10:30PM EST,10,4.1," "
nba.p.5071,Quincy,Acy,PF,SAC,IND,IND@SAC,10:30PM EST,10,8.5," "
nba.p.5158,Ben,McLemore,SG,SAC,IND,IND@SAC,10:30PM EST,10,12.7," "
nba.p.5245,Seth,Curry,PG,SAC,IND,IND@SAC,10:30PM EST,10,6.1," "
